EVTDESCPA.10258;The ruler of Byzantium has demanded you give up your independence and submit to Imperial control. The contract states that if you accept the offer, you will be allowed to retain control of Epirus. The Byzantine army is large and well equipped, and the wealth of Constantinople allows it to recruit veteran mercenaries, so acceptance may be in your best interests. On the other hand, your prestige will take quite a hit if you submit to another ruler, and your vassals may see it as a betrayal. As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
EVTNAMEPA.10259;The Offer;;;;;;;;;x 
EVTDESCPA.10259;The ruler of Byzantium has demanded you give up your independence and submit to Imperial control. The contract states that if you accept the offer, you will be allowed to retain control of Trebizond. The Byzantine army is large and well equipped, and the wealth of Constantinople allows it to recruit veteran mercenaries, so acceptance may be in your best interests. On the other hand, your prestige will take quite a hit if you submit to another ruler, and your vassals may see it as a betrayal. As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
weak_ruler;Weak Ruler;;;;;;;;;x 
e_islam;Islamic Empire;;;;;;;;;x 
make_damascus_capital;Move the Capital to Damascus;;;;;;;;;x 
make_damascus_capital_desc;Move the capital to Damascus for better access to the Mediterranean.;;;;;;;;;x 
damascus_capital;Damascus becomes the capital of the Caliphate once more.;;;;;;;;;x 
form_mamluks;Form the Mamluks;;;;;;;;;x 
form_mamluks_desc;The slave-soldiers of the Ghilman are effective, but too few to form the core of our army. You could form a new unit to serve as a strategic reserve for the army and the [Root.GetTitle]'s personal bodyguard.;;;;;;;;;x 
inactive_themes;Inactive Themes;;;;;;;;;x 
active_themes;Active Themes;;;;;;;;;x 
d_foederati;Foederati Auxillia;;;;;;;;;x 
d_tagmata;Imperial Tagmata;;;;;;;;;x 
d_tagmata2;Imperial Tagmata;;;;;;;;;x 
d_scholae;Scholae Palatinae;;;;;;;;;x 
reform_tagmata;Reform the Tagmata;;;;;;;;;x 
reform_tagmata_desc;The Imperial Tagmata were established by Emperor Constantine V to counter the power of the Anatolian themes, and once served as the core of our army. You could reform them if you have the necessary funds.;;;;;;;;;x 
reform_scholae;Reform the Scholae;;;;;;;;;x 
reform_scholae_desc;The Scholae Palatinae was re-established as the successor to the old tagmata after the rebirth of the Empire, and once served as the core of our army. You could reform it if you have the necessary funds.;;;;;;;;;x 
reform_ravenna_exarchate;Reform the Exarchate of Ravenna;;;;;;;;;x 
reform_ravenna_exarchate_desc;Reform the Exarchate of Ravenna;;;;;;;;;x 
reform_carthage_exarchate;Reform the Exarchate of Carthage;;;;;;;;;x 
reform_carthage_exarchate_desc;Reform the Exarchate of Carthage;;;;;;;;;x 
form_cordoba_exarchate;Form the Exarchate of Cordoba;;;;;;;;;x 
form_cordoba_exarchate_desc;Form the Exarchate of Cordoba;;;;;;;;;x 
form_tangiers_exarchate;Form the Exarchate of Tangiers;;;;;;;;;x 
form_tangiers_exarchate_desc;Form the Exarchate of Tangiers;;;;;;;;;x 
raise_crown_authority;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority_desc;Implement the Low Crown Authority law.;;;;;;;;;x 
raise_crown_authority2;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority2_desc;Implement the Medium Crown Authority law.;;;;;;;;;x 
raise_crown_authority3;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority3_desc;Implement the High Crown Authority law.;;;;;;;;;x 
raise_crown_authority4;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority4_desc;Implement the Max Crown Authority law.;;;;;;;;;x 
implement_kingdom_viceroys;Implement Kingdom Viceroys;;;;;;;;;x 
implement_kingdom_viceroys_desc;Implement the Kingdom Viceroys law.;;;;;;;;;x 
implement_duchy_viceroys;Implement Duchy Viceroys;;;;;;;;;x 
implement_duchy_viceroys_desc;Implement the Duchy Viceroys law.;;;;;;;;;x 
implement_imperial_administration;Implement Imperial Administration;;;;;;;;;x 
implement_imperial_administration_desc;Implement the Imperial Administration law.;;;;;;;;;x 
implement_feudal_tax;Implement Feudal Tax;;;;;;;;;x 
implement_feudal_tax_desc;Implement the Small Feudal Tax law.;;;;;;;;;x 
enlarge_tagmata;Enlarge the Tagmata;;;;;;;;;x 
enlarge_tagmata_desc;The Imperial Tagmata have served well as the core of our army, but they are far too small to be used aggressively in battle. You could expand them if you have the necessary funds.;;;;;;;;;x 
reform_tagmata2;Reform the Tagmata;;;;;;;;;x 
reform_tagmata2_desc;The Imperial Tagmata were established by Constantine V to counter the power of the Anatolian themes, and once served as the core of our army. You could reform them if you have the necessary funds.;;;;;;;;;x 
gallic;Gallo-Roman;;;;;;;;;x 
EVTDESCPA.10277;The traditionally Frankish population of the province of [Root.GetName] has with time and foreign trade become more and more similar to their Germanic cousins.;;;;;;;;;x 
EVTDESCPA.10278;The traditionally Gallo-Roman population of the province of [Root.GetName] has with time and foreign trade taken on Germanic elements and become less and less like their Latin brothers.;;;;;;;;;x 
EVTDESC_CM_6;Through foreign trade and Latin influence new traditions are evolving among the Ibero-Romans. This is highly noticeable in the province of [Root.GetName], which is now Occitan in culture.;;;;;;;;;x 
EVTDESC_CM_7;The Ibero-Romans in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Castilian in culture.;;;;;;;;;x 
EVTDESC_CM_8;The Ibero-Romans in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Catalan in culture.;;;;;;;;;x 
EVTDESC_CM_9;Through foreign trade and Latin influence, new traditions are evolving among the Ibero-Romans. This is highly noticeable in the province of [Root.GetName], which is now Portuguese in culture.;;;;;;;;;x 
hispanic;Ibero-Roman;;;;;;;;;x 
vasconic;Vasconic;;;;;;;;;x 
k_neustria;Neustria;;;;;;;;;x 
k_neustria_adj;Neustrian;;;;;;;;;x 
k_austrasia;Austrasia;;;;;;;;;x 
k_austrasia_adj;Austrasian;;;;;;;;;x 
dalmatian;Dalmatian;;;;;;;;;x 
create_fraticelli_papacy;Create the Fraticelli Papacy;;;;;;;;;x 
create_fraticelli_papacy_desc;If I am pious enough and control Rome, I can appoint a Fraticelli Pope to serve as the head of the faith in opposition to the vile Catholic Pope.;;;;;;;;;x 
create_iconoclast_patriarchate;Create the Iconoclast Patriarchate;;;;;;;;;x 
create_iconoclast_patriarchate_desc;If I am pious enough and control Constantinople, I can appoint an Iconoclast Ecumenical Patriarch to serve as the head of the faith in opposition to the vile Orthodox Patriarch.;;;;;;;;;x 
create_monothelite_patriarchate;Create the Monothelite Patriarchate;;;;;;;;;x 
create_monothelite_patriarchate_desc;If I am pious enough and control Constantinople, I can appoint a Monothelite Ecumenical Patriarch to serve as the head of the faith in opposition to the vile Orthodox Patriarch.;;;;;;;;;x 
d_balaton;Balaton;;;;;;;;;x 
d_balaton_adj;Balaton;;;;;;;;;x 
LEADER_APP_NEEDS_LAW;You do not have the correct laws to appoint army leaders (High Crown Authority and above or Imperial Administration).;;;;;;;;;x 
RETTYPE_BYZ_SKO;Skoutatoi;;;;;;;;;x 
RETTYPE_REG_WEUR;Footmen;;;;;;;;;x 
RETTYPE_CUL_ITA;Militia;;;;;;;;;x 
RETTYPE_ARAB_GHA;Ghazi;;;;;;;;;x 
ca_culture_group_byzantine_1;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_2;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_3;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_4;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_1_desc;Skoutatoi units include heavy infantry and pikemen. They are well equipped shock troops which can deal heavy damage.;;;;;;;;;x 
ca_culture_italian_1;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_2;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_3;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_4;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_1_desc;These grounds are used to train militia pikemen. Focused mainly on the defence, pikemen are excellent against all types of cavalry.;;;;;;;;;x 
k_bulgaria2;Bulgaria;;;;;;;;;x 
k_bulgaria2_adj;Bulgarian;;;;;;;;;x 
k_serbia2;Serbia;;;;;;;;;x 
k_serbia2_adj;Serbian;;;;;;;;;x 
k_croatia2;Croatia;;;;;;;;;x 
k_croatia2_adj;Croatian;;;;;;;;;x 
k_sicily2;Sicily;;;;;;;;;x 
k_sicily2_adj;Sicillian;;;;;;;;;x 
establish_bulgarian_patriarchate;Establish the Bulgarian Patriarchate;;;;;;;;;x 
establish_bulgarian_patriarchate_desc;With the adoption of Christianity by the Bulgars, it may be prudent to order the establishment of a new patriarchate. While the Patriarch may disagree, it will surely improve relations with the Bulgar clergy;;;;;;;;;x 
establish_serbian_patriarchate;Establish the Serbian Patriarchate;;;;;;;;;x 
establish_serbian_patriarchate_desc;With the adoption of Christianity by the Serbs, it may be prudent to order the establishment of a new patriarchate. While the Patriarch may disagree, it will surely improve relations with the Serb clergy;;;;;;;;;x 
request_bulgarian_patriarchate;Request Autocephalous Patriarchate;;;;;;;;;x 
request_bulgarian_patriarchate_desc;The Bulgar church chaffs under the rule of the Greek clergy If we can foster closer relations with the Patriarch in Constantinople, we may suggest the establishment of an autocephalous patriarchate.;;;;;;;;;x 
request_serbian_patriarchate;Request Autocephalous Patriarchate;;;;;;;;;x 
request_serbian_patriarchate_desc;The Serbian church chaffs under the rule of the Greek clergy. If we can roster closer relations with the Patriarch in Constantinople, we may suggest the establishment of an autocephalous patriarchate.;;;;;;;;;x 
vassal_wars;Vassal Wars;;;;;;;;;x 
vassal_wars_desc;The Vassal Wars law controls whether or not vassals can declare war and upon whom they can declare it (Does not affect king-level vassals because of engine limitations).;;;;;;;;;x 
vassal_wars_0;Allowed All Wars;;;;;;;;;x 
vassal_wars_1;External Wars Only;;;;;;;;;x 
vassal_wars_2;Disallowed Wars;;;;;;;;;x 
vassal_wars_0_desc;Vassals can declare war if they have a valid casus belli.;;;;;;;;;x 
vassal_wars_1_desc;Vassals can only declare wars on external targets.;;;;;;;;;x 
vassal_wars_2_desc;Vassals are forbidden from declaring war.;;;;;;;;;x 
lollard_DESC;Lollard heretics are opposed to perceived corruption within the Catholic Church. Like many Catholic heresies, they loathe the wealth and ostentation of the clergy, and advocate a return to a more original form of Christianity.;;;;;;;;;x 
cathar_DESC;The Cathar or Albigensian heresy rejects confession and the holiness of the clergy and the Pope. The Cathar faith has only a single sacrament - the Consolation - which involves the removal of sin and the ordanation of the believer as Cathar Perfect.;;;;;;;;;x 
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensians are anti-clerical, and advocate a return to vows of poverty. Waldensians are vehemently opposed to torture and capital punishment, and believe that laymen can administer the sacraments.;;;;;;;;;x 
bogomilist_DESC;Bogomilism is an Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christian practices, such as poverty. Bogomilists believe that the world was created by the demiurge - the Devil.;;;;;;;;;x 
jewish_DESC;Rabbinic Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel before the Assyrian invasion.;;;;;;;;;x 
manichean_DESC;Manichaeism is a Gnostic religion that was founded by the prophet Mani, who was put to death by Emperor Bahram I in 277. Mani's 'Religion of Light' incorporated elements of Christianity, Zoroastrianism and Gnosticism, and can be regarded as a syncretic faith. The leader of the Manichean church is the Megas Archegos, who traditionally sits in Baghdad.;;;;;;;;;x 
mazdaki_DESC;Mazdak was a Zoroastrian priest who claimed to be a prophet of Ahura Mazda. He attempted to reform Zoroastrianism with the addition of Gnostic elements, and advocated communal possessions and welfare programs. His teachings fell out of favor with Emperor Kavadh I in 524, but pockets of the heresy survived for a time in Azerbijan and the Persian mountains.;;;;;;;;;x 
karaite_DESC;Karaite Judaism is a Jewish movement characterized by the recognition of the Tanakh alone as the supreme legal authority in Jewish religious law and theology. In this it is distinct from mainstream Rabbinic Judaism. Karaites maintain that all of the divine commandments handed down to Moses by God were recorded in the written Torah, without additional Oral Law or explanation.;;;;;;;;;x 
samaritan_DESC;Samaritanism is an Abrahamic religion closely related to Judaism. Samaritans assert their worship is the true religion of the ancient Israelites prior to the Babylonian Exile, preserved by those who remained in the Land of Israel, as opposed to Rabbinic Judaism, which they assert is a related, but altered and amended faith. In-game, Samaritanism is treated as Jewish heresy.;;;;;;;;;x 
d_mazdaki;The Mazdaki Church;;;;;;;;;x 
d_mazdaki_adj;Mazdaki;;;;;;;;;x 
d_zurvanite;The Zurvanite Church;;;;;;;;;x 
d_zurvanite_adj;Zurvanite;;;;;;;;;x 
k_manichean;The Manichean Church;;;;;;;;;x 
k_manichean_adj;Manichean;;;;;;;;;x 
d_karaite;The Karaite High Priesthood;;;;;;;;;x 
d_karaite_adj;Karaite;;;;;;;;;x 
d_samaritan;The Samaritan High Priesthood;;;;;;;;;x 
d_samaritan_adj;Samaritan;;;;;;;;;x 
k_oman;Oman;;;;;;;;;x 
k_oman_adj;Omani;;;;;;;;;x 
k_yemen;Yemen;;;;;;;;;x 
k_yemen_adj;Yemeni;;;;;;;;;x 
RETINUE_EXPL_DEL;Your Retinue is your standing army. Unlike Army Levies, retinues are always on the map and reinforce slowly. The maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology, the size of your realm, and your government type.;;;;;;;;;x 
k_eutychian;The Eutychian Church;;;;;;;;;x 
k_eutychian_adj;Eutychian;;;;;;;;;x 
eutychian;Eutychian;;;;;;;;;x 
eutychian_DESC;The Eutychian faith, named after the monk Eutyches of Constantinople, is a non-Chalcedonian faith that was established in 431, at the Council of Ephesus. Eutychians believe that the unity of Christ's nature is such that his divinity has consumed his humanity as the ocean consumes a drop of vinegar. In-game, Eutychianism is considered a Nestorian heresy.;;;;;;;;;x 
east_germanic;East Germanic;;;;;;;;;x 
ostrogothic;Ostrogothic;;;;;;;;;x 
visigothic;Visigothic;;;;;;;;;x 
e_avaria;Avars;;;;;;;;;x 
e_avaria_adj;Avar;;;;;;;;;x 
EVTDESCPA.10279;Through foreign trade and Greek influence, new traditions are evolving among the Ostrogoths. This is highly noticeable in the province of [Root.GetName], which is now Gothic in culture.;;;;;;;;;x 
zoroastrian_DESC;Zoroastrians worship Ahura Mazda, the uncreated God, as proclaimed by the ancient Iranian prophet Zoroaster. It was the official religion of all Persian empires until the Muslim conquest of the Sassanid Empire. The ancient form of the religion involved great sacred hill top fires, the exposure of dead bodies to scavenger birds for cleansing, and religious close-kin marriages in imitation of Ahura Mazda and Zoroaster.;;;;;;;;;x 
k_zenata;Zenata;;;;;;;;;x 
k_zenata_adj;Zenatan;;;;;;;;;x 
k_masmuda;Masmuda;;;;;;;;;x 
k_masmuda_adj;Masudan;;;;;;;;;x 
k_sahaja;Sahaja;;;;;;;;;x 
k_sahaja_adj;Sahajan;;;;;;;;;x 
d_canarias;Canarias;;;;;;;;;x 
k_canarias;Canarias;;;;;;;;;x 
paulician_DESC;Paulicianism is Christian Gnostic heresy, influenced by Manichaeism, which flourished in Armenia in the 8th and 9th centuries. The Byzantine Empire fought numerous wars with the Paulicians, who received support from neighbouring Arab emirates. In-game, Paulician is treated as an Apostolic heresy.;;;;;;;;;x 
druze_DESC;The Druze religion was founded in 1017 by Hamza ibn-'Ali ibn-Ahmad, a radical preacher who received support from Abu Ali Manur, the Fatamid Caliph. Although largely based upon Isma'ilism, it has many features of gnosticism and neoplatonism, considering Akhenaten, Socrates, Plato, and Aristotle as prophets.;;;;;;;;;x 
visigothic_arian_conversion;Covert to Arian;;;;;;;;;x 
visigothic_arian_conversion_desc;With the Catholic Church in disarray, you could readopt Arian Christianity.;;;;;;;;;x 
ostrogothic_arian_conversion;Covert to Arian;;;;;;;;;x 
ostrogothic_arian_conversion_desc;With the Orthodox Church in disarray, you could readopt Arian Christianity.;;;;;;;;;x 
revive_Visigothic_culture;Revive Visigothic Culture;;;;;;;;;x 
revive_Visigothic_culture_desc;Al tough the Visigothic kingdom has been restored to its former glory, its once rich language and culture is dead. You could attempt to revive it if you wish.;;;;;;;;;x 
revive_ostrogothic_culture;Revive Ostrogothic Culture;;;;;;;;;x 
revive_ostrogothic_culture_desc;Although the Ostrogothic kingdom has been restored to its former glory, its once rich language and culture is dead. You could attempt to revive it if you wish;;;;;;;;;x 
EVTDESCPA.10287;Through foreign trade and Khazar influence new traditions are evolving among the Ostrogoths. This is highly noticeable in the province of [Root.GetName], which is now more Altaic than German.;;;;;;;;;x 
ostrogoth_culture;[From.GetTitledName] becomes Ostrogothic;;;;;;;;;x 
visigoth_culture;[From.GetTitledName] becomes Visigothic;;;;;;;;;x 
EVTNAMEPA.10288;The Kingdom of Luxembourg;;;;;;;;;x 
EVTDESCPA.10288;With the end of Carolingian domination of Middle Francia, the realm is now more commonly referred to as the Kingdom of Luxembourg.;;;;;;;;;x 
divine;Divine;;;;;;;;;x 
divine_desc;Maybe the gods are real afterall...;;;;;;;;;x 
INTERACTION_NOT_KINGS_FULL_PEACE;Vassals are permitted to wage war;;;;;;;;;x 
INTERACTION_NOT_KINGS_PEACE;Vassals are prevented from declaring war;;;;;;;;;x 
restore_high_priesthood2;Restore the High Priesthood;;;;;;;;;x 
restore_high_priesthood2_desc;If we can reclaim Israel, we could restore the Samaritan High Priesthood.;;;;;;;;;x 
restore_high_priesthood3;Create the High Priesthood;;;;;;;;;x 
restore_high_priesthood3_desc;If we can reclaim Israel, we could create the Karaite High Priesthood.;;;;;;;;;x 
restore_priesthood2;Create the High Priesthood;;;;;;;;;x 
restore_priesthood2_desc;If we can reclaim the Persian Empire, we could create the Mazdaki High Priesthood.;;;;;;;;;x 
restore_priesthood3;Create the High Priesthood;;;;;;;;;x 
restore_priesthood3_desc;If we can reclaim the Persian Empire, we could create the Zurvanite High Priesthood.;;;;;;;;;x 
e_umayyad;Umayyad Caliphate;;;;;;;;;x 
e_umayyad_adj;Umayyad;;;;;;;;;x 
k_gallia;Gallia;;;;;;;;;x 
k_gallia_adj;Gallic;;;;;;;;;x 
restore_gallia;Restore the Province of Gallia.;;;;;;;;;x 
restore_gallia_desc;If key areas of Gallia can be reclaimed, the ancient province may be restored.;;;;;;;;;x 
ostrogothic_germanic_conversion;Covert to Germanic;;;;;;;;;x 
ostrogothic_germanic_conversion_desc;With the Orthodox Church in disarray, you could readopt Germanic paganism.;;;;;;;;;x 
visigothic_germanic_conversion;Covert to Germanic;;;;;;;;;x 
visigothic_germanic_conversion_desc;With the Catholic Church in disarray, you could readopt Germanic paganism.;;;;;;;;;x 
e_gallia;Gallic Empire;;;;;;;;;x 
e_gallia_adj;Gallic;;;;;;;;;x 
e_palmyra;Palmyrene Empire;;;;;;;;;x 
e_palmyra;Palmyrene;;;;;;;;;x 
restore_gallic_empire;Restore the Gallic Empire..;;;;;;;;;x 
restore_gallia_empire_desc;If key territories of the old Gallic Empire can be recovered, we can assume the mantle of the ancient state.;;;;;;;;;x 
restore_palmyrene_empire;Restore the Palmyrene Empire..;;;;;;;;;x 
restore_palmyrene_empire_desc;If key territories of the old Palmyrene Empire can be recovered, we can assume the mantle of the ancient state.;;;;;;;;;x 
EVTDESCPA.10304;The revival of Roman culture has led to a decline in the number of Italian speakers. This is highly noticeable in the province of [Root.GetName], which is now Roman in culture.;;;;;;;;;x 
quran;Quranist;;;;;;;;;x 
quran_DESC;In Islam, Quranism is a heretical sect that holds the Quran to be the only authentic source of Islamic faith. Quranists generally reject the religious authority and authenticity of the hadiths, the clergy, the madhhabs, as well as traditional sharia law, with the assertion that they are false attributes to the Islamic prophet Muhammad.;;;;;;;;;x 
qadari;Qadari;;;;;;;;;x
qadari_DESC;Qadari is an originally derogatory term for early Islamic theologians who asserted that humans possess free will and whose exercise makes them responsible for their actions, justifying divine punishment and absolving God of responsibility for evil in the world. Although the Qadari were declared heretical by Muhammad for denying predestination, their teachings survived into the 8th century.;;;;;;;;;x
haruri;Haruri;;;;;;;;;x
haruri;The Haruri are a Muslim sect that dates from the Rashidun period (632-661). Named after Habib ibn-Yazid al-Haruri, their leader, Haruri was originally branch of the Kharijite movement. Altohugh the Haruri initially supported Ali, but turned against him when he agreed to arbitration regarding the issue of leadership. The Haruri are most well known for orchestrating the assination of Ali by Abd al-Rahman ibn Muljam during Ramadan in 661.;;;;;;;;;x
qarmantian;Qarmantian;;;;;;;;;x
qarmantian_DESC;The Qarmantians are a syncretic religious group that combines elements of Zoroastrianism with Shia Islam. Founded by al-Husayn al-Ahwazi, also known as Qarmat, the Qarmantians established a theocratic republic in Al-Hasa in 899. They are most well their revolt against the Abbasid caliphate in 930, during which Mecca was sacked by the group's leader, Abu Tahir al-Jannabi, and the Black Stone was stolen from the Kabba.;;;;;;;;;x
standing_army;Standing Army;;;;;;;;;x
standing_army2;Standing Army;;;;;;;;;x 
standing_army3;Standing Army;;;;;;;;;x 
standing_army4;Standing Army;;;;;;;;;x 
standing_army5;Standing Army;;;;;;;;;x 
e_rum;Rum;;;;;;;;;x 
e_rum_adj;Rumite;;;;;;;;;x 
form_rum_empire;Form the Empire of Rum;;;;;;;;;x 
form_rum_empire_desc;If key territories of the Byzantine Empire can be taken, we can assert our claim to the legacy of the Roman state.;;;;;;;;;x 
EVTNAMEPA.10305;Fall of Kievan Rus;;;;;;;;;x 
EVTDESCPA.10305;The great kingdom of the Rus has fallen. With the loss of so much territory to foreign powers and rebellious nobles, it was only a matter of time before Kiev itself fell. Although unity of the Rus has been shattered for now, but the future may see Kiev return.;;;;;;;;;x 
EVTNAMEPA.10308;The Seljuk Conquest;;;;;;;;;x 
EVTDESCPA.10308;The defeat that was inflicted upon the Byzantines at Manzikert nearly destroyed the Empire. Emperor Michael VII has managed to restore some sense of stability, but he is universally hated. With civil war on the horizon, now would be a good chance to invade Anatolia, the hearthland of the Empire.;;;;;;;;;x 
EVTNAMEPA.10309;Rise of Rum;;;;;;;;;x 
EVTDESCPA.10309;The Byzantine Empire has been defeated in Anatolia by the Seljuk Turks, who now call themselves Rum (Rome). Lead by distant relation of the Seljuk sultan, they are eager to continue their invasion of the Byzantine Empire. Unless the Byzantines can organise a defence, they may well lose total control over Anatolia.;;;;;;;;;x 
k_socotra;Socotra;;;;;;;;;x 
k_socotra_adj;Socotran;;;;;;;;;x 
assyrian;Assyrian;;;;;;;;;x 
aramean;Aramean;;;;;;;;;x 
coptic;Coptic;;;;;;;;;x 
k_kimak;Kimak;;;;;;;;;x 
d_sahara;Sahara;;;;;;;;;x 
Canaanite;Canaanite;;;;;;;;;x 
ca_culture_group_iranian_1;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_2;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_3;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_4;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_1_desc;Equipped with leather armour, a spear, and a wooden shield, Paighan are primarily intended to support the heavy cataphracts that Persia is known for. Although they aren't professionally trained, they can generally be relied to hold the line.;;;;;;;;;x 
k_ostrogoth;Ostrogothia;;;;;;;;;x 
k_ostrogoth_adj;Ostrogothic;;;;;;;;;x 
langobard;Langobard;;;;;;;;;x 
african;Afro-Roman;;;;;;;;;x 
langobard_arian_conversion;Covert to Arian;;;;;;;;;x 
langobard_arian_conversion_desc;With the Catholic Church in disarray, you could readopt Arian Christianity.;;;;;;;;;x 
langobard_germanic_conversion;Covert to Germanic;;;;;;;;;x 
langobard_germanic_conversion_desc;With the Catholic Church in disarray, you could readopt Germanic paganism.;;;;;;;;;x 
RETTYPE_CUL_MAC;Hoplite;;;;;;;;;x 
RETTYPE_CUL_MAC2;Companion;;;;;;;;;x 
ca_national_retinue_macedonia_1;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_2;Hopeite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_3;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_4;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_1_desc;The Hoplites of Alexander, reborn in the medieval era. Like their ancient predecessors, they are equipped with long pikes and large wooden shields. Outfitted with modern chain-mail armour and trained to perfection, they are deadly warriors.;;;;;;;;;x 
RETTYPE_CUL_GOTH;Gothic Heavy Infantry;;;;;;;;;x 
ca_culture_germanic_1_desc;The heavy infantry formations of the Franks, the Lombards, and the Goths are heavily influenced by the Roman army's organization and tactics. Here is where these elite warriors are trained and drilled for battle in the service of their liege.;;;;;;;;;x 
RETTYPE_CUL_ARF;Moorish Infantry;;;;;;;;;x 
RETTYPE_CUL_BERBER;Moorish Cavalry;;;;;;;;;x 
mizrahi;Mizrahi;;;;;;;;;x 
baron_gallic;Nobilus;;;;;;;;;x 
baron_female_gallic;Nobilia;;;;;;;;;x 
barony_of_gallic;Castra of;;;;;;;;;x 
city_baron_gallic;Curator;;;;;;;;;x 
count_gallic;Comes;;;;;;;;;x 
count_female_gallic;Comitissa;;;;;;;;;x 
county_of_gallic;Comitatus of;;;;;;;;;x 
city_count_gallic;Prefect;;;;;;;;;x 
duke_gallic;Dux;;;;;;;;;x 
duke_female_gallic;Ducissa;;;;;;;;;x 
duchy_of_gallic;Ducate of;;;;;;;;;x 
city_duke_of_gallic;Proconsul;;;;;;;;;x 
city_duchy_of_gallic;Province of;;;;;;;;;x 
king_gallic;Rex;;;;;;;;;x 
king_female_gallic;Regina;;;;;;;;;x 
city_king_gallic;Consul;;;;;;;;;x 
city_kingdom_of_gallic;Republic of;;;;;;;;;x 
emperor_gallic;Imperator;;;;;;;;;x 
emperor_female_gallic;Imperatrix;;;;;;;;;x 
city_emperor_gallic;Princeps;;;;;;;;;x 
city_empire_of_gallic;Republic of;;;;;;;;;x 
vice_royalty_count_gallic;Rector;;;;;;;;;x 
vice_royalty_count_female_gallic;Rectrix;;;;;;;;;x 
vice_royalty_county_of_gallic;Coventus of;;;;;;;;;x 
vice_royalty_duke_gallic;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_gallic;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_gallic;Province of;;;;;;;;;x 
vice_royalty_king_gallic;Exarch;;;;;;;;;x 
vice_royalty_king_female_gallic;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_gallic;Exarchate of;;;;;;;;;x 
baron_hispanic;Nobilus;;;;;;;;;x 
baron_female_hispanic;Nobilia;;;;;;;;;x 
barony_of_hispanic;Castra of;;;;;;;;;x 
city_baron_hispanic;Curator;;;;;;;;;x 
count_hispanic;Comes;;;;;;;;;x 
count_female_hispanic;Comitissa;;;;;;;;;x 
county_of_hispanic;Comitatus of;;;;;;;;;x 
city_count_hispanic;Prefect;;;;;;;;;x 
duke_hispanic;Dux;;;;;;;;;x 
duke_female_hispanic;Ducissa;;;;;;;;;x 
duchy_of_hispanic;Ducate of;;;;;;;;;x 
city_duke_of_hispanic;Proconsul;;;;;;;;;x 
city_duchy_of_hispanic;Province of;;;;;;;;;x 
king_hispanic;Rex;;;;;;;;;x 
king_female_hispanic;Regina;;;;;;;;;x 
city_king_hispanic;Consul;;;;;;;;;x 
city_kingdom_of_hispanic;Republic of;;;;;;;;;x 
emperor_hispanic;Imperator;;;;;;;;;x 
emperor_female_hispanic;Imperatrix;;;;;;;;;x 
city_emperor_hispanic;Princeps;;;;;;;;;x 
city_empire_of_hispanic;Republic of;;;;;;;;;x 
vice_royalty_count_hispanic;Rector;;;;;;;;;x 
vice_royalty_count_female_hispanic;Rectrix;;;;;;;;;x 
vice_royalty_county_of_hispanic;Coventus of;;;;;;;;;x 
vice_royalty_duke_hispanic;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_hispanic;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_hispanic;Province of;;;;;;;;;x 
vice_royalty_king_hispanic;Exarch;;;;;;;;;x 
vice_royalty_king_female_hispanic;Exarchessa;;;;;;;;;x 
