#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
EVTOPTA88502;Yes, make it so. Distribute alms to the poor.;;;;;;;;;x 
EVTOPTB88502;No, I would not disturb their fast by giving them means to buy food...;;;;;;;;;x 
EVTDESC88503;Now is the time for prayers and devoted reading of the Qur'an. After the sun has set, you could recite the Qur'an through Tarawih prayers.;;;;;;;;;x 
EVTOPTA88503;Yes, I will thus draw nearer to Allah.;;;;;;;;;x 
EVTOPTB88503;No, I do not have the time to spare.;;;;;;;;;x 
EVTDESC88504;The strict fast you have been observing during the daylight hours of Ramadan has weakened you to the point of illness. As the ill are exempted from fasting, there would be no shame or loss of piety if you abandoned the fast and made up for the lost days at a later time. If you continue, however, there could be serious repercussions to your health...;;;;;;;;;x 
EVTOPTA88504;Yes, I need time to recover from this...;;;;;;;;;x 
EVTOPTB88504;No, I feel fine!;;;;;;;;;x 
EVTDESC88505;Your decision to continue fasting despite your illness has proved a costly one. You have become infirm with weakness due to lack of food and water, and left with no choice but to interrupt the fast.;;;;;;;;;x 
EVTOPTA88505;Perhaps next year...;;;;;;;;;x 
EVTDESC88506;The fast you have observed during Ramadan has taught you the value of moderation in all things, and the dangers of indulgence and excess. You feel closer to Allah.;;;;;;;;;x 
EVTOPTA88506;I am a new person.;;;;;;;;;x 
EVTDESC88507;You have given generously to the poor during Ramadan and performed many good deeds. The urge to help those in need comes naturally to you.;;;;;;;;;x 
EVTOPTA88507;I feel like a better person.;;;;;;;;;x 
EVTDESC88508;The ongoing war demands your full attention, and you and your men can no longer continue your fast. You will have to make up the lost days at a later date.;;;;;;;;;x 
EVTOPTA88508;So it must be.;;;;;;;;;x 
EVTDESC88509;You have become ill and will have to abandon the fast. The lost days will have to be made up at a later date.;;;;;;;;;x 
EVTOPTA88509;So it is.;;;;;;;;;x 
EVTDESC88510;The end of Ramadan approaches, and that means the holiday of Eid ul-Fitr is upon us. The preparations for the planned feast to celebrate this have already been made, and now the time has come to invite your vassals to your palace. What say you, Master?;;;;;;;;;x 
EVTOPTA88510;Send out the invitations!;;;;;;;;;x 
EVTOPTB88510;No, I have a headache. Cancel the festivities!;;;;;;;;;x 
EVTDESC88511;Peace be upon you, [Root.GetTitledName]. The end of Ramadan draws near, and to celebrate the holiday of Eid ul-Fitr I have decided to hold a great feast in my palace. You are of course invited.\n\nWith respect,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA88511;I am honored to accept.;;;;;;;;;x 
EVTOPTB88511;No, I have other plans.;;;;;;;;;x 
EVTDESC88512;Peace be upon you, [Root.GetTitledName]. I give thanks for your invitation to celebrate Eid ul-Fitr at your palace, but I regret to inform you I cannot attend.\n\nYour servant,\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA88512;So [From.GetSheHe] dares refuse!;;;;;;;;;x 
EVTDESC88513;The great banquet you ordered held to celebrate Eid ul-Fitr and the end of Ramadan was a rousing success! The food was exceptional, the entertainment magnificent and a great time was had by all. Your guests seemed suitably impressed by your wealth and generosity.;;;;;;;;;x 
EVTOPTA88513;Eid Mubarak!;;;;;;;;;x 
EVTDESC88514;The great banquet held by [From.GetTitledName] to celebrate Eid ul-Fitr and the end of Ramadan was a splendid occasion. The food was exceptional, the entertainment magnificent and a great time was had by all.;;;;;;;;;x 
EVTOPTA88514;Eid Mubarak!;;;;;;;;;x 
EVTDESC88515;To celebrate Eid ul-Fitr, perhaps you should present a gift to your beloved wife.;;;;;;;;;x 
EVTOPTA88515;Of course! I will buy her a golden necklace.;;;;;;;;;x 
EVTOPTB88515;No, my affection for her is gift enough.;;;;;;;;;x 
EVTDESC88516;To celebrate Eid ul-Fitr, perhaps you should present gifts to your beloved wives.;;;;;;;;;x 
EVTOPTA88516;Yes, but only for [Root.Spouse.GetFirstName], my dear first wife.;;;;;;;;;x 
EVTOPTB88516;Of course, they will all see my love!;;;;;;;;;x 
EVTOPTC88516;My affection for them is gift enough.;;;;;;;;;x 
EVTDESC88517;The hunger pains you experience during the fast have become unbearable due to your gluttonous nature. With the sun still high in the sky, you break into the pantry and help yourself to the food inside while tears stream down your face...;;;;;;;;;x 
EVTOPTA88517;Mmhf... c-can't.. help myself...;;;;;;;;;x 
EVTDESC88518;Overcome with lust and in broad daylight during the fast, you sinfully engage in the pleasures of the flesh with a serving girl.;;;;;;;;;x 
EVTOPTA88518;I should not have done that...;;;;;;;;;x 
EVTDESC88519;Though the fast requires you to abstain from food and drink during the daylight hours, you helped yourself to enough wine to fall into a drunken stupor.;;;;;;;;;x 
EVTOPTA88519;I-I'm schorry...;;;;;;;;;x 
EVTDESC88520;Many in [Root.Location.GetName] have donated generously to provide for the poor during the holy month of Ramadan. The gold has been gathered in an urn but when you approach it to donate your own share, your greedy nature results in your coin purse gaining weight instead of losing it...;;;;;;;;;x 
EVTOPTA88520;No one will miss a few coins...;;;;;;;;;x 
EVTDESC88521;As a cynical unbeliever, you do your best to uphold the appearance of observing the fast, but behind closed doors you do not think twice about eating and drinking to your heart's content, be it day or night. One day you are caught in the act...;;;;;;;;;x 
EVTOPTA88521;I-It's not what it looks like!;;;;;;;;;x 
observe_ramadan;Observe Ramadan;;;;;;;;;x 
observe_ramadan_desc;As a Muslim you observe the fast of Ramadan every year, but you will be paying particular adherence to it this time. Upon its conclusion, a great banquet will be held to celebrate the Eid ul-Fitr holiday.;;;;;;;;;x 
begin_fast;Let the fast commence!;;;;;;;;;x 
EVTTOOLTIP88512;Invitation rejected.;;;;;;;;;x 
EVTTOOLTIP88514;Eid ul-Fitr feast is attended.;;;;;;;;;x 
EVTTOOLTIP88513;Eid ul-Fitr feast is held.;;;;;;;;;x 
EVTDESC88522;Your fast and observance of the holy month of Ramadan has ended.;;;;;;;;;x 
EVTOPTA88522;Until next year.;;;;;;;;;x 
EVTTOOLTIP88522;The fast ends.;;;;;;;;;x 
EVTDESC105050;I wish to decorate the new mosque with abstract arabesque motifs such as quotes from the Qur'an and intricate calligraphy is something my liege's new Court Calligrapher should be more than able to do.;;;;;;;;;x 
EVTOPTA105050;With the Court Calligrapher's help, the mosque should look wonderful!;;;;;;;;;x 
EVTTOOLTIP105051;Court Calligrapher [This.GetTitledFirstName] is asked to create designs for the decoration of the new Mosque;;;;;;;;;x 
EVTOPTB105050;I should not disturb the Court Calligrapher with such a petty task;;;;;;;;;x 
EVTDESC105051;A message from [From.GetTitledFirstName] has arrived, with a most respectful tone to it and a humble request for calligraphy of Quranic verses for the decoration of a newly erected mosque.;;;;;;;;;x 
EVTOPTA105051;I would be more than honored to create designs for the decoration;;;;;;;;;x 
EVTTOOLTIPA105052;The calligraphy Quranic verses is much appreciated by [This.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIPB105052;Despite [Root.GetTitledFirstName] hard work with the calligraphy Quranic verses, the designs and effort is not appreciated by [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105051;My work would only be spoiled in a mosque of such petty calibre;;;;;;;;;x 
EVTTOOLTIPB105053;The Court Calligrapher [Root.GetTitledFirstName]'s refusal is most disappointing to [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC105052;I received samples of what the Court Calligrapher [From.GetTitledFirstName] had envisioned for the decoration of the mosque, taken special care to the few Quranic verses I had felt most important to adorn the roof and walls of the mosque.;;;;;;;;;x 
EVTOPTA105052;[From.GetSheHeCap] has outdone [From.GetHerselfHimself]! Bravo, [From.GetTitledFirstName]!;;;;;;;;;x 
EVTTOOLTIPA105054;The work of Court Calligrapher [This.GetTitledFirstName] is praised by [Root.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIPA105055;The excellence of the Court Calligrapher reaches [This.GetTitledFirstName] ears;;;;;;;;;x 
EVTOPTB105052;The design looks as if a three-year-old has smeared ink over the pergament!;;;;;;;;;x 
EVTTOOLTIPB105054;[Root.GetTitledFirstName] tells the Court Calligrapher [This.GetTitledFirstName] how terrible the designs are;;;;;;;;;x 
EVTTOOLTIPB105055;The pitiful designs has even reached the eyes of [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105052;The designs are good, but [From.GetTitledFirstName] can do better;;;;;;;;;x 
EVTOPTD105052;The designs are awful, but I cannot tell [From.GetTitledFirstName] that!;;;;;;;;;x 
EVTDESC105053;I had thought it to be a great honor, designing the decorations of my mosque and I had even sent [From.GetTitledFirstName] some Quranic verses to give [From.GetHerHim] some ideas of what I wanted together with a most humble letter praising [From.GetTitledFirstName]'s calligraphic skill. The short answer was humiliating in its simplicity:;;;;;;;;;x 
EVTOPTA105053;'No' was the answer I got!;;;;;;;;;x 
EVTDESC105054;I sent [From.GetTitledFirstName] some short samples of my previous works and the design of the Quranic verses [From.GetSheHe] had specifically asked for. The messenger arrived with a letter from [From.GetTitledFirstName] and I tore it open to reveal what [From.GetTitledFirstName] had written in response to my designs...;;;;;;;;;x 
EVTOPTA105054;[From.GetSheHeCap] loved it! Time to start working seriously on this!;;;;;;;;;x 
EVTOPTB105054;[From.GetSheHeCap] thought the designs was terrible!;;;;;;;;;x 
EVTOPTC105054;[From.GetSheHeCap] chided me for not taking this seriously!;;;;;;;;;x 
EVTOPTD105054;[From.GetSheHeCap] was happy with the designs;;;;;;;;;x 
EVTDESC105055;I saw the design of the Quranic verses my Court Calligrapher [FromFrom.GetTitledFirstName] had created for [From.GetTitledFirstName]'s new mosque and I couldn't believe anyone would be dissatisfied with it, [FromFrom.GetTitledFirstName] is a master with the qalam!;;;;;;;;;x 
EVTOPTA105055;[From.GetTitledFirstName] was most pleased with the designs;;;;;;;;;x 
EVTOPTB105055;[From.GetTitledFirstName] did not share my opinion...;;;;;;;;;x 
EVTOPTC105055;[From.GetTitledFirstName] pointed out several flaws in the design, deeming it unworthy;;;;;;;;;x 
EVTOPTD105055;[From.GetTitledFirstName] agreed with me and praised [FromFrom.GetTitledFirstName];;;;;;;;;x 
EVTDESC105060;The hilya I have worked on for so long is a piece of art, the description of the Prophet Mohammad's appearance and character written in gold with as much care taken to every line and curve as to every dot as I could possibly do. The brilliant colors and exquisite details is a joy to behold!;;;;;;;;;x 
EVTOPTA105060;I should send the hilya to the [Root.Religion.GetName] Caliph!;;;;;;;;;x 
EVTTOOLTIPA105061;The Caliph [This.GetTitledFirstName] is most pleased with the hilya;;;;;;;;;x 
EVTOPTB105060;I should honor my liege [Root.Liege.GetTitledFirstName] and send [Root.Liege.GetHerHim] the hilya;;;;;;;;;x 
EVTTOOLTIPB105061;[Root.GetTitledFirstName]'s liege [Root.Liege.GetTitledFirstName] is most pleased;;;;;;;;;x 
EVTOPTC105060;I shall sell this hilya and make a new one with the money;;;;;;;;;x 
EVTDESC105061;[From.GetTitledFirstName] sent me a hilya [From.GetSheHe] had made [From.GetHerselfHimself], a description of the Prophet Mohammad's appearance and character written in gold on pergament with hopes of it protecting me from trouble in this world and the next.;;;;;;;;;x 
EVTOPTA105061;Beautiful! Many thanks to you, [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105061;Accept this small token of my appreciation for the hilya;;;;;;;;;x 
EVTOPTC105061;Did I ask for this? I have hilyas much more intricate and beautiful than this!;;;;;;;;;x 
EVTDESC105065;With the promise of creating a golden Qur'an, with ornaments of gold and cover of solid gold, something only the most skilled and experienced calligraphers would ever be able to create, I might be able to lure my liege [Root.Liege.GetTitledFirstName] for some money!;;;;;;;;;x 
EVTOPTA105065;Ask [Root.Liege.GetTitledFirstName] to pay for the 'whole book';;;;;;;;;x 
EVTTOOLTIPA105066;The materials for the 'Golden Qur'an' might be paid for by [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105065;Ask [Root.Liege.GetTitledFirstName] to pay for part of it;;;;;;;;;x 
EVTTOOLTIPB105066;[Root.GetTitledFirstName] ask [This.GetTitledFirstName] to help pay for the materials for the 'Golden Qur'an';;;;;;;;;x 
EVTOPTC105065;My dream will remain a dream...;;;;;;;;;x 
EVTDESC105066;The idea of a golden Qur'an might be absurd, the cost for the gold alone incredible but I listened patiently as the Court Calligrapher [From.GetTitledFirstName] told me about [From.GetHerHis] plans and ideas, the approximately cost of the materials needed including the gold and [From.GetHerHis] time estimate. It started to sound promising, then [From.GetTitledFirstName] asked me...;;;;;;;;;x 
EVTOPTA105066;To pay for all the materials? Yes, of course!;;;;;;;;;x 
EVTTOOLTIPA105067;[Root.GetTitledFirstName] will help [This.GetTitledFirstName] by paying for materials for the Golden Qur'an;;;;;;;;;x 
EVTOPTB105066;To help pay for some of the materials? As long as that is all you need...;;;;;;;;;x 
EVTOPTC105066;No, I won't help you. 'Golden Qur'an', absurd!;;;;;;;;;x 
EVTTOOLTIPB105067;[Root.GetTitledFirstName] refusal to help pay for the Golden Qur'an disappoints [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC105067;With a rough estimate of what the materials for the Golden Qur'an would cost and a time estimate of about six months I managed to make [From.GetTitledFirstName] more than interested in my 'dream' of making a Golden Qur'an...;;;;;;;;;x 
EVTOPTA105067;[From.GetTitledFirstName] agreed to pay for whatever I might need!;;;;;;;;;x 
EVTOPTB105067;My plan worked, [From.GetTitledFirstName] agreed to pay for some of the 'materials'!;;;;;;;;;x 
EVTOPTC105067;[From.GetTitledFirstName] refused to pay for 'something so foolish!';;;;;;;;;x 
EVTDESC105068;It has been six months since I agreed to help my Court Calligrapher [From.GetTitledFirstName] with [From.GetHerHis] dream of creating a Golden Qur'an and I am starting to become suspicious. I have heard no word of progress, nor seen any sign of the Golden Qur'an or its design and I am starting to believe my Court Calligrapher might have deceived me for money!;;;;;;;;;x 
EVTOPTA105068;Imprison Court Calligrapher [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105068;Banish Court Calligrapher [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105068;Make Court Calligrapher [From.GetTitledFirstName] pay;;;;;;;;;x 
EVTOPTD105068;Forgive Court Calligrapher [From.GetTitledFirstName], it's only money!;;;;;;;;;x 
EVTDESC105069;The Golden Qur'an I promised [From.GetTitledFirstName] I would create for the money [From.GetSheHe] gave me to pay for the materials is of course a figment of imagination, a scheme to lure my liege of some money. Somehow [From.GetTitledFirstName] have found out about my scheme and I am being punished by...;;;;;;;;;x 
EVTOPTA105069;...being thrown into [From.GetHerHis] dungeons!;;;;;;;;;x 
EVTOPTB105069;...banished from [From.GetHerHis] court!;;;;;;;;;x 
EVTOPTC105069;...my wealth is taken from me!;;;;;;;;;x 
EVTDESC105075;The ghazal's poetic expression of both the pain of separation and the beauty of love in spite of that pain is the perfect poetic form for my next song!;;;;;;;;;x 
EVTOPTA105075;I will dedicate this to [Root.Liege.Spouse.GetTitledFirstName]!;;;;;;;;;x 
EVTTOOLTIP105076;Court Musician [Root.GetTitledFirstName]'s new song is dedicated to [Root.GetHerHis] liege's wife [Root.Liege.Spouse.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105075;[Root.Liege.GetTitledFirstName] will be the first to hear it!;;;;;;;;;x 
EVTTOOLTIPA105077;Court Musician [Root.GetTitledFirstName] sing [Root.GetHerHis] new song for [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105075;I need more time before I can master this form;;;;;;;;;x 
EVTDESC105076;My husband's Court Musician [From.GetTitledFirstName] has a wonderful voice and I could barely keep from blushing as I heard [From.GetHerHim] sing [From.GetHerHis] ghazal song about the pain of separation and the beauty of love in spite of that pain...;;;;;;;;;x 
EVTOPTA105076;Wonderful! Our court would be less beautiful without your voice;;;;;;;;;x 
EVTTOOLTIP105078;[Root.GetTitledFirstName]'s appreciation of [This.GetTitledFirstName]'s song gladdens [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105076;It is not proper for a man to court a married woman!;;;;;;;;;x 
EVTTOOLTIP105077;[Root.GetTitledFirstName]'s husband [This.GetTitledFirstName] hears about the Court Musician courting his wife;;;;;;;;;x 
EVTDESC105077;The Court Musician's words and his singing brought justice to the poetic form ghazal, a poetic expression of both the pain of separation and the beauty of love in spite of that pain.;;;;;;;;;x 
EVTOPTA105077;Here, a small token of mine and [From.GetTitledFirstName]'s appreciation...;;;;;;;;;x 
EVTTOOLTIPB105078;[Root.GetTitledFirstName] and [Root.Spouse.GetTitledFirstName] both appreciated Court Musician [This.GetTitledFirstName]'s song;;;;;;;;;x 
EVTOPTB105077;How dare you court my wife with this song!?;;;;;;;;;x 
EVTTOOLTIPC105078;Court Musician [This.GetTitledFirstName] is imprisoned for courting [Root.Spouse.GetTitledFirstName] with a song;;;;;;;;;x 
EVTOPTC105077;Play it just one more time, please?;;;;;;;;;x 
EVTTOOLTIP105079;Court Musician [This.GetTitledFirstName]'s song is appreciated by [Root.GetTitledFirstName];;;;;;;;;x 
EVTDESC105078;As I sang my song, I started to feel true pain of separation from my love and still see the beauty of love. The ghazal was my masterpiece and as I let the last few notes die away I felt tears streaming down my face...;;;;;;;;;x 
EVTOPTA105078;[From.GetTitledFirstName] was as touched by the song as I were;;;;;;;;;x 
EVTOPTB105078;Both [From.GetTitledFirstName] and [From.Spouse.GetTitledFirstName] appreciated my song;;;;;;;;;x 
EVTOPTC105078;[From.GetTitledFirstName] did not appreciate me singing this song to his wife!;;;;;;;;;x 
EVTDESC105100;'Through my veins both love and blood flows\nMy beloved fills me as love empties me of myself...'\nAs I struggle with my poem I searched through the garden for an inspiration of some sort...;;;;;;;;;x 
EVTOPTA105100;I find inspiration in [Root.Liege.GetTitledFirstName] and read her the poem;;;;;;;;;x 
EVTTOOLTIP105101;Court Musician [Root.GetTitledFirstName] inspiration is awakened by [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105100;The garden inspired me, present the poem to [Root.Liege.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIPA105102;Court Musician [Root.GetTitledFirstName] inspiration is awakened by [Root.GetHerHis] liege [This.GetTitledFirstName]'s garden;;;;;;;;;x 
EVTOPTC105100;No inspiration is to be had, the poem will remain unfinished...;;;;;;;;;x 
EVTDESC105101;My husband's garden is an easy place to find inspiration within, and I was slowly walking through it when the Court Poet [From.GetTitledFirstName] startled me. [From.GetSheHeCap] asked my forgiveness and recited a poem [From.GetTitledFirstName] claimed to have gotten inspiration to when [From.GetSheHe] saw me walking.;;;;;;;;;x 
EVTOPTA105101;Not exactly appropriate, but very sweet;;;;;;;;;x 
EVTTOOLTIP105103;[Root.GetTitledFirstName] has nothing but kind words for Court Poet [This.GetTitledFirstName]'s poetry;;;;;;;;;x 
EVTOPTB105101;Go away! What will my husband say?!;;;;;;;;;x 
EVTTOOLTIPB105102;[Root.GetTitledFirstName] is mortified and tells [Root.GetHerHis] husband [This.GetTitledFirstName] about the Court Poet's poetry;;;;;;;;;x 
EVTDESC105102;The poem did not rhyme, why did it not rhyme? Shouldn't every poem rhyme? I was assured by the Court Poet that not all poetry rhymed and I did like the two first sentences:\n\n'Through my veins both love and blood flows\nMy beloved fills me as love empties me of myself...';;;;;;;;;x 
EVTOPTA105102;Good work my dear poet, good work!;;;;;;;;;x 
EVTTOOLTIPB105103;[Root.GetTitledFirstName] appreciated the poem, although it did not rhyme;;;;;;;;;x 
EVTOPTB105102;Did you try to seduce my wife with this!? Imprison him!;;;;;;;;;x 
EVTTOOLTIPC105103;[Root.GetTitledFirstName] imprisons Court Poet [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105102;This is the most beautiful poem I ever heard!;;;;;;;;;x 
EVTDESC105103;My new poem was clearly appreciated, people were asking me to make copies of it or just hear me recite it for them. I tried to do this as inconspicuously as possible, I did not want any jealous wife or husbands try to harm me just for a sweet poems sake...;;;;;;;;;x 
EVTOPTA105103;Seems as [From.GetTitledFirstName] liked it...;;;;;;;;;x 
EVTOPTB105103;[From.GetTitledFirstName] even paid me for a copy!;;;;;;;;;x 
EVTOPTC105103;[From.GetTitledFirstName] did not appreciate me getting inspiration from his wife...;;;;;;;;;x 
EVTOPTD105103;[From.GetTitledFirstName] was moved to tears by my poem;;;;;;;;;x 
EVTDESC105150;As the Cupbearer I shall serve drinks at the table, guard against poison in my [Root.Liege.GetTitle]'s cup and sometimes test the wine by tasting it to make sure no one has poisoned it. Too bad I do not like my liege and might accidentally serve bad wine...;;;;;;;;;x 
EVTOPTA105150;Poison the wine [Root.Liege.GetTitledFirstName] will drink;;;;;;;;;x 
EVTTOOLTIP105151;The poison was discovered before any damage was done;;;;;;;;;x 
EVTOPTB105150;I dare not risk my position at [Root.Liege.GetTitledFirstName]'s court;;;;;;;;;x 
EVTDESC105151;My trustworthy Cupbearer [From.GetTitledFirstName] served the wine as always and even though it did taste a bit strange I did not reflect upon it until it was too late! The wine must have been poisoned, why else would I feel this way?;;;;;;;;;x 
EVTOPTA105151;Imprison that [From.GetManWoman]! Obey my voice!;;;;;;;;;x 
EVTTOOLTIPA105152;Cupbearer [This.GetTitledFirstName] is imprisoned by the lunatic [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105151;A night of stomach cramps convinced me of [From.GetTitledFirstName] guilt!;;;;;;;;;x 
EVTTOOLTIPB105152;The poison caused nothing more than stomach cramps, Cupbearer [This.GetTitledFirstName] is imprisoned;;;;;;;;;x 
EVTOPTC105151;I am merciful when I imprison you, [From.GetTitledFirstName]! You should be dead!;;;;;;;;;x 
EVTTOOLTIPC105152;[Root.GetTitledFirstName]'s imprisons Cupbearer [This.GetTitledFirstName] but would rather see [This.GetHerHim] dead;;;;;;;;;x 
EVTOPTD105151;For Cupbearer is death! I mean, kill [From.GetHerHim]!;;;;;;;;;x 
EVTOPTE105151;For your treason you will die!;;;;;;;;;x 
EVTOPTF105151;I would kill you myself if I had the strength!;;;;;;;;;x 
EVTDESC105152;It seems my treason reached the wrong ears! The poison in the wine, why did I trust it to kill [From.GetTitledFirstName]? I should have done it with my own two hands!;;;;;;;;;x 
EVTOPTA105152;At least the bastard is sick as a dog!;;;;;;;;;x 
EVTOPTB105152;[From.GetTitledFirstName] did not even get sick!;;;;;;;;;x 
EVTOPTC105152;The poison made [From.GetHerHim] insane at least...;;;;;;;;;x 
EVTDESC105200;I took a look at some of the architecture plans for the buildings being built in [Root.Liege.GetTitledFirstName]'s realm and what I saw chilled my blood. There were so many things that could be improved, so many small faults that could be solved if only [Root.Liege.GetTitledFirstName] would listen to me and provide the money necessary for these changes.;;;;;;;;;x 
EVTOPTA105200;[Root.Liege.GetTitledFirstName] must approve these changes!;;;;;;;;;x 
EVTTOOLTIP105201;Chief Architect [Root.GetTitledFirstName]'s suggests several changes in the building plans for [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105200;I need more time, there's probably more flaws I can find...;;;;;;;;;x 
EVTDESC105201;'You see, this small change might mean five years more without repairs, and this is just absurd, what were they thinking? Let me have the money needed to do these changes and I promise you...'\nThe Chief Architect pointed out several flaws and faults with the building plans and asked for money to prevent them.;;;;;;;;;x 
EVTOPTA105201;Whatever you need, just make these buildings sturdy!;;;;;;;;;x 
EVTTOOLTIPA105202;Chief Architect [This.GetTitledFirstName] is given the money needed to correct flaws in the buildings;;;;;;;;;x 
EVTOPTB105201;No, I don't want to waste money on this!;;;;;;;;;x 
EVTTOOLTIPB105202;[Root.GetTitledFirstName] has no desire to waste money on the buildings;;;;;;;;;x 
EVTDESC105202;I saw before me how the buildings would stand tall and beautiful, without the flaws I had found in the building plans. Before me stood the [From.GetManWoman] who held this in [From.GetHerHis] hand and I waited for [From.GetTitledFirstName] decision, eager to get out there and make the buildings flawless.;;;;;;;;;x 
EVTOPTA105202;'No money for improvements', [From.GetTitledFirstName] said;;;;;;;;;x 
EVTOPTB105202;I got the money but now I want to keep it!;;;;;;;;;x 
EVTOPTC105202;I can do so much, save so many buildings from imperfections!;;;;;;;;;x 
EVTDESC105203;Another building collapsed today! I thought my Chief Architect [From.GetTitledFirstName] had found and corrected these flaws but it seems like [From.GetSheHe] squandered the money away. What should the punishment for this be?;;;;;;;;;x 
EVTOPTA105203;Imprison Chief Architect [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105203;Banish Chief Architect [From.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105203;Make Chief Architect [From.GetTitledFirstName] pay;;;;;;;;;x 
EVTOPTD105203;I'm sure [From.GetTitledFirstName] did [From.GetHerHis] best to stop it from happening;;;;;;;;;x 
EVTDESC105204;I should have used the money for improvements! Another building collapsed today and [From.GetTitledFirstName] holds me responsible for it. I tremble at the mere thought of whatever punishment [From.GetTitledFirstName] see fit for my failure...;;;;;;;;;x 
EVTOPTA105204;Imprisonment!;;;;;;;;;x 
EVTOPTB105204;Banishment!;;;;;;;;;x 
EVTOPTC105204;My wealth... forfeited!;;;;;;;;;x 
EVTDESC91200;Alcoholic beverages are considered haraam in the Islamic faith - forbidden. This, however, has not stopped you from consuming copious amounts of wine and getting plastered on a regular basis.;;;;;;;;;x 
EVTOPTA91200;*hic*;;;;;;;;;x 
EVTDESC91201;Your attraction to those of your same sex is frowned upon by the rest of society, but there are times when you simply grow tired of keeping up appearances. The people do not look kindly on this.;;;;;;;;;x 
EVTOPTA91201;Let them say what they want!;;;;;;;;;x 
EVTDESC91202;Some visiting imams walk in on you as your servants are busily smearing your body with honey, covering you from top to bottom. For some reason they react in horror at this sight.;;;;;;;;;x 
EVTOPTA91202;What? I left enough for tomorrow's breakfast.;;;;;;;;;x 
EVTDESC91203;It is becoming increasingly difficult to conceal your secret vice - impaling your enemies on wooden stakes and listening to their cries of despair. Concerns have been raised about how appropriate this behavior is for someone of your station.;;;;;;;;;x 
EVTOPTA91203;You will not rob me of the one thing I enjoy in life!;;;;;;;;;x 
EVTDESC91204;Why should you settle for one woman, or two, or a dozen? The carnal pleasures of the flesh beckon, and let no man say you are undeserving!;;;;;;;;;x 
EVTOPTA91204;Come here, my pretty...;;;;;;;;;x 
EVTDESC91205;Your enormous appetite cannot be sated. As the poor of your realm starve, your servants bring delicacies from the most distant lands to your table. A 'light lunch' for you would be enough to feed a peasant family for a week or two.;;;;;;;;;x 
EVTOPTA91205;Let me just remove my belt...;;;;;;;;;x 
EVTDESC91206;You have been doing your best to suck the people of [Root.Location.GetName] dry of what few possessions they have. No matter how much of their wealth is channeled your way, you always want more. The lifestyle you have grown accustomed to is an expensive one indeed.;;;;;;;;;x 
EVTOPTA91206;It is my right.;;;;;;;;;x 
EVTDESC91207;The truly enlightened ruler must conserve all energy for the act of ruling itself. It is for this reason that you have expanded your staff of servants tenfold. Tedious activities such as walking, bringing food to your mouth or the wiping of your regal behind are a thing of the past for you.;;;;;;;;;x 
EVTOPTA91207;Ah, yes...;;;;;;;;;x 
EVTDESC91208;More and more of your waking hours are being spent comparing your worldly possessions with those of other rulers. For someone of your same station to have a more lavish palace or prettier garments is simply unacceptable.;;;;;;;;;x 
EVTOPTA91208;I deserve only the very best.;;;;;;;;;x 
EVTDESC91209;Your foul temper is frequently discussed in hushed voices among your palace staff. Furniture, silverware, mirrors - everything is fair game when your mood turns bad and you feel the need to break or throw something. If your palace was ever looted, would anyone be able to tell the difference?;;;;;;;;;x 
EVTOPTA91209;It can all be replaced.;;;;;;;;;x 
EVTDESC91210;You order the construction of a massive bronze statue over the main entrance of [Root.Location.GetName] depicting yourself holding a raised sword, challenging the very heavens to strike you down if they dare. This generous gift to the people will help them remember your splendor and brilliance.;;;;;;;;;x 
EVTOPTA91210;They should be thankful I am their ruler.;;;;;;;;;x 
EVTDESC91211;Your deceitfulness and guile sometimes serve you well, but it has also earned you a reputation among your subjects as someone who is not to be trusted. They simply do not see you as a man of honor.;;;;;;;;;x 
EVTOPTA91211;Honour is a weakness I cannot afford.;;;;;;;;;x 
EVTDESC91212;While there are some rulers who take an active role in military affairs, the safety of the palace life is far more appealing to you. Why, if you ventured beyond the palace gates, something could hurt you!;;;;;;;;;x 
EVTOPTA91212;Guards, I don't like the way that child looked at me...;;;;;;;;;x 
