EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10258;The ruler of Byzantium has demanded you give up your independence and submit to Imperial control. The contract states that if you accept the offer, you will be allowed to retain control of Epirus. The Byzantine army is large and well equipped, and the wealth of Constantinople allows it to recruit veteran mercenaries, so acceptance may be in your best interests. On the other hand, your prestige will take quite a hit if you submit to another ruler, and your vassals may see it as a betrayal. As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
EVTNAMEPA.10259;The Offer;;;;;;;;;x 
EVTDESCPA.10259;The ruler of Byzantium has demanded you give up your independence and submit to Imperial control. The contract states that if you accept the offer, you will be allowed to retain control of Trebizond. The Byzantine army is large and well equipped, and the wealth of Constantinople allows it to recruit veteran mercenaries, so acceptance may be in your best interests. On the other hand, your prestige will take quite a hit if you submit to another ruler, and your vassals may see it as a betrayal. As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
weak_ruler;Weak Ruler;;;;;;;;;x 
e_islam;Islamic Empire;;;;;;;;;x 
make_damascus_capital;Make Damascus Capital;;;;;;;;;x 
make_damascus_capital_desc;Move the capital to Damascus for better access to the Mediterranean.;;;;;;;;;x 
damascus_capital;Damascus becomes the capital of the Sunni Caliphate once more.;;;;;;;;;x 
form_mamluks;Form the Mamluks;;;;;;;;;x 
form_mamluks_desc;The slave-soldiers of the Ghilman are effective, but too few to form the core of an army. You could form a new unit to serve as your armies elite reserve and the [Root.GetTitle]'s personal boydguard.;;;;;;;;;x 
inactive_themes;Inactive Themes;;;;;;;;;x 
active_themes;Active Themes;;;;;;;;;x 
d_foederati;Foederati Auxillia;;;;;;;;;x 
d_scholae;Scholae Palatinae;;;;;;;;;x 
d_scholae2;Scholae Palatinae;;;;;;;;;x 
d_archon;Archontopouloi;;;;;;;;;x 
d_archon2;Archontopouloi;;;;;;;;;x 
d_nobiles;Cohortes Nobiles;;;;;;;;;x 
reform_scholae;Reform the Scholae Palatinae;;;;;;;;;x 
reform_scholae_desc;The Scholae Palatinae was a unit of cavalry established by Emperor Constantine I to replace the Praetorian Guard, which had become disloyal. You could reform them if you have the necessary funds.;;;;;;;;;x 
reform_scholae2;Reform the Scholae Palatinae;;;;;;;;;x 
reform_scholae2_desc;The Scholae Palatinae was a unit of cavalry established by Emperor Constantine I to replace the Praetorian Guard, which had become disloyal. You could reform them if you have the necessary funds.;;;;;;;;;x 
reform_archon;Reform the Archontopouloi;;;;;;;;;x 
reform_archon_desc;The Archontopouloi was an elite unit of heavily armoured cataphracts created by Emperor Alexius Komnenos from among the orphans of dead officers. You could reform them if you have the necessary funds.;;;;;;;;;x 
reform_nobiles;Reform the Nobiles;;;;;;;;;x 
reform_nobiles_desc;The Cohortes Nobiles are the successors to the Archontopouloi, heavily armoured cataphracts recruited from among the orphans of dead officers. You could reform them if you have the necessary funds.;;;;;;;;;x 
reform_ravenna_exarchate;Reform the Exarchate of Ravenna;;;;;;;;;x 
reform_ravenna_exarchate_desc;Reform the Exarchate of Ravenna;;;;;;;;;x 
reform_carthage_exarchate;Reform the Exarchate of Carthage;;;;;;;;;x 
reform_carthage_exarchate_desc;Reform the Exarchate of Carthage;;;;;;;;;x 
form_cordoba_exarchate;Form the Exarchate of Cordoba;;;;;;;;;x 
form_cordoba_exarchate_desc;Form the Exarchate of Cordoba;;;;;;;;;x 
form_tangiers_exarchate;Form the Exarchate of Tangiers;;;;;;;;;x 
form_tangiers_exarchate_desc;Form the Exarchate of Tangiers;;;;;;;;;x 
raise_crown_authority;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority_desc;Implement the Low Crown Authority law.;;;;;;;;;x 
raise_crown_authority2;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority2_desc;Implement the Medium Crown Authority law.;;;;;;;;;x 
raise_crown_authority3;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority3_desc;Implement the High Crown Authority law.;;;;;;;;;x 
raise_crown_authority4;Raise Crown Authority;;;;;;;;;x 
raise_crown_authority4_desc;Implement the Max Crown Authority law.;;;;;;;;;x 
implement_kingdom_viceroys;Implement Kingdom Viceroys;;;;;;;;;x 
implement_kingdom_viceroys_desc;Implement the Kingdom Viceroys law.;;;;;;;;;x 
implement_duchy_viceroys;Implement Duchy Viceroys;;;;;;;;;x 
implement_duchy_viceroys_desc;Implement the Duchy Viceroys law.;;;;;;;;;x 
implement_imperial_administration;Implement Imperial Administration;;;;;;;;;x 
implement_imperial_administration_desc;Implement the Imperial Administration law.;;;;;;;;;x 
implement_feudal_tax;Implement Feudal Tax;;;;;;;;;x 
implement_feudal_tax_desc;Implement the Small Feudal Tax law.;;;;;;;;;x 
enlarge_archon;Enlarge the Archontopouloi;;;;;;;;;x 
enlarge_archon_desc;The Archontopouloi have served well, but they are too few in number to be used aggressively in battle. You could recruit more if you have the necessary funds.;;;;;;;;;x 
form_archon;Form the Archontopouloi;;;;;;;;;x 
form_archon_desc;The Archontopoulai were a unit of cataphracts created by Emperor Alexius I through the conscription of orphans. You could form them if you have the necessary funds.;;;;;;;;;x 
gallic;Gallo-Roman;;;;;;;;;x 
EVTDESCPA.10277;The traditionally Frankish population of the province of [Root.GetName] has with time and foreign trade become more and more similar to their Germanic cousins.;;;;;;;;;x 
EVTDESCPA.10278;The traditionally Gallo-Roman population of the province of [Root.GetName] has with time and foreign trade taken on Germanic elements and become less and less like their Latin brothers.;;;;;;;;;x 
EVTDESC_CM_6;Through foreign trade and Latin influence new traditions are evolving among the Hispano-Romans. This is highly noticeable in the province of [Root.GetName], which is now Occitan in culture.;;;;;;;;;x 
EVTDESC_CM_7;The Hispano-Romans in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Castilian in culture.;;;;;;;;;x 
EVTDESC_CM_8;The Hispano-Romans in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Catalan in culture.;;;;;;;;;x 
EVTDESC_CM_9;Through foreign trade and Latin influence, new traditions are evolving among the Hispano-Romans. This is highly noticeable in the province of [Root.GetName], which is now Portuguese in culture.;;;;;;;;;x 
vasconic;Vasconic;;;;;;;;;x 
k_neustria;Neustria;;;;;;;;;x 
k_neustria_adj;Neustrian;;;;;;;;;x 
k_austrasia;Austrasia;;;;;;;;;x 
k_austrasia_adj;Austrasian;;;;;;;;;x 
create_fraticelli_papacy;Create the Fraticelli Papacy;;;;;;;;;x 
create_fraticelli_papacy_desc;If I am pious enough and control Rome, I can appoint a Fraticelli Pope to serve as the head of the faith in opposition to the vile Catholic Pope.;;;;;;;;;x 
create_iconoclast_patriarchate;Create the Iconoclast Patriarchate;;;;;;;;;x 
create_iconoclast_patriarchate_desc;If I am pious enough and control Constantinople, I can appoint an Iconoclast Ecumenical Patriarch to serve as the head of the faith in opposition to the vile Orthodox Patriarch.;;;;;;;;;x 
create_monothelite_patriarchate;Create the Monothelite Patriarchate;;;;;;;;;x 
create_monothelite_patriarchate_desc;If I am pious enough and control Constantinople, I can appoint a Monothelite Ecumenical Patriarch to serve as the head of the faith in opposition to the vile Orthodox Patriarch.;;;;;;;;;x 
d_balaton;Balaton;;;;;;;;;x 
d_balaton_adj;Balaton;;;;;;;;;x 
LEADER_APP_NEEDS_LAW;You do not have the correct laws to appoint army leaders (High Crown Authority and above or Imperial Administration).;;;;;;;;;x 
RETTYPE_BYZ_SKO;Skoutatoi;;;;;;;;;x 
RETTYPE_REG_WEUR;Footmen;;;;;;;;;x 
RETTYPE_CUL_ITA;Militia;;;;;;;;;x 
RETTYPE_ARAB_GHA;Ghazi;;;;;;;;;x 
ca_culture_group_byzantine_1;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_2;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_3;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_4;Skoutatoi Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_1_desc;Skoutatoi units include heavy infantry and pikemen. They are well equipped shock troops which can deal heavy damage.;;;;;;;;;x 
ca_culture_italian_1;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_2;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_3;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_4;Militia Training Ground;;;;;;;;;x 
ca_culture_italian_1_desc;These grounds are used to train militia pikemen. Focused mainly on the defence, pikemen are excellent against all types of cavalry.;;;;;;;;;x 
k_bulgaria2;Bulgaria;;;;;;;;;x 
k_bulgaria2_adj;Bulgarian;;;;;;;;;x 
k_serbia2;Serbia;;;;;;;;;x 
k_serbia2_adj;Serbian;;;;;;;;;x 
k_croatia2;Croatia;;;;;;;;;x 
k_croatia2_adj;Croatian;;;;;;;;;x 
k_sicily2;Sicily;;;;;;;;;x 
k_sicily2_adj;Sicillian;;;;;;;;;x 
establish_bulgarian_patriarchate;Establish Bulgarian Patriarchate;;;;;;;;;x 
establish_bulgarian_patriarchate_desc;Offer the Bulgarians autocephaly.;;;;;;;;;x 
establish_serbian_patriarchate;Establish Serbian Patriarchate;;;;;;;;;x 
establish_serbian_patriarchate_desc;Offer the Serbians autocephaly.;;;;;;;;;x 
request_bulgarian_patriarchate;Request Bulgarian Patriarchate;;;;;;;;;x 
request_bulgarian_patriarchate_desc;Request autocephaly for our church.;;;;;;;;;x 
request_serbian_patriarchate;Request Serbian Patriarchate;;;;;;;;;x 
request_serbian_patriarchate_desc;Request autocephaly for our church.;;;;;;;;;x 
vassal_wars;Vassal Wars;;;;;;;;;x 
vassal_wars_desc;The Vassal Wars law controls whether or not vassals can declare war and upon whom they can declare it (Does not affect king-level vassals because of engine limitations).;;;;;;;;;x 
vassal_wars_0;Allowed All Wars;;;;;;;;;x 
vassal_wars_1;External Wars Only;;;;;;;;;x 
vassal_wars_2;Disallowed Wars;;;;;;;;;x 
vassal_wars_0_desc;Vassals can declare war if they have a valid casus belli.;;;;;;;;;x 
vassal_wars_1_desc;Vassals can only declare wars on external targets.;;;;;;;;;x 
vassal_wars_2_desc;Vassals are forbidden from declaring war.;;;;;;;;;x 
lollard_DESC;Lollard heretics are opposed to perceived corruption within the Catholic Church. Like many Catholic heresies, they loathe the wealth and ostentation of the clergy and advocate a return to a more original form of Christianity.;;;;;;;;;x 
cathar_DESC;The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar Perfect.;;;;;;;;;x 
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensian heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments.;;;;;;;;;x 
bogomilist_DESC;Bogomilism is an originally Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christianity. Bogomilists believe that the world was created by an evil demiurge - the Devil.;;;;;;;;;x 
jewish_DESC;Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel before the Assyrian invasion.;;;;;;;;;x 
manichean_DESC;Manichaeism is a Gnostic religion founded by the prophet Mani who was put to death by the Sassanid Shahanshah Bahram I in 277. His 'Religion of Light' incorporated elements of Christianity, Zoroastrianism and Gnosticism. The traditional leader of the Manichean church was the Megas Archegos of Baghdad. In-game, Manichaeism is regarded as a Zoroastrian heresy.;;;;;;;;;x 
mazdaki_DESC;Mazdak was a Zoroastrian priest who claimed to be a prophet of Ahura Mazda. He attempted to reform the religion with Gnostic elements, and advocated communal possessions and welfare programs. His teachings fell out of favor with the Shahanshah Kavadh I in 524, but pockets of the heresy survived for a time in the Persian mountains.;;;;;;;;;x 
karaite_DESC;Karaite Judaism is a Jewish movement characterized by the recognition of the Tanakh alone as its supreme legal authority in Jewish religious law and theology. In this it is distinct from mainstream Rabbinic Judaism. Karaites maintain that all of the divine commandments handed down to Moses by God were recorded in the written Torah, without additional Oral Law or explanation.;;;;;;;;;x 
samaritan_DESC;Samaritanism is an Abrahamic religion closely related to Judaism. Samaritans assert their worship is the true religion of the ancient Israelites prior to the Babylonian Exile, preserved by those who remained in the Land of Israel, as opposed to Judaism, which they assert is a related but altered and amended religion. In-game, Samaritanism is treated as a heresy of mainstream Judaism.;;;;;;;;;x 
d_mazdaki;The Mazdaki Church;;;;;;;;;x 
d_mazdaki_adj;Mazdaki;;;;;;;;;x 
d_zurvanite;The Zurvanite Church;;;;;;;;;x 
d_zurvanite_adj;Zurvanite;;;;;;;;;x 
k_manichean;The Manichean Church;;;;;;;;;x 
k_manichean_adj;Manichean;;;;;;;;;x 
d_karaite;The Karaite High Priesthood;;;;;;;;;x 
d_karaite_adj;Karaite;;;;;;;;;x 
d_samaritan;The Samaritan High Priesthood;;;;;;;;;x 
d_samaritan_adj;Samaritan;;;;;;;;;x 
k_oman;Oman;;;;;;;;;x 
k_oman_adj;Omani;;;;;;;;;x 
k_yemen;Yemen;;;;;;;;;x 
k_yemen_adj;Yemeni;;;;;;;;;x 
RETINUE_EXPL_DEL;Your Retinue is your standing army. Unlike Army Levies, retinues are always on the map and reinforce slowly. The maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology, the size of your realm, and your administration laws.;;;;;;;;;x 
k_eutychian;The Eutychian Church;;;;;;;;;x 
k_eutychian_adj;Eutychian;;;;;;;;;x 
eutychian;Eutychian;;;;;;;;;x 
eutychian_DESC;The Eutychian faith, named after the monk eutychian of Constantinople, is a non-Chalcedonian faith which taught that the human nature of Christ was overcome by the divine, or that Christ had a human nature but it was unlike the rest of humanity. One formulation is that Eutychianism stressed the unity of Christ's nature to such an extent that Christ's divinity consumed his humanity as the ocean consumes a drop of vinegar. In-game, Eutychianism is considered a Nestorian heresy.;;;;;;;;;x 
convert_to_spouse_eutychian;Convert to Eutychian;;;;;;;;;x 
convert_to_spouse_eutychian_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
east_germanic;East Germanic;;;;;;;;;x 
ostrogothic;Ostrogothic;;;;;;;;;x 
visigothic;Visigothic;;;;;;;;;x 
e_avaria;Avars;;;;;;;;;x 
e_avaria_adj;Avar;;;;;;;;;x 
EVTDESCPA.10279;Through foreign trade and Greek influence, new traditions are evolving among the Ostrogoths. This is highly noticeable in the province of [Root.GetName], which is now Gothic in culture.;;;;;;;;;x 
zoroastrian_DESC;Zoroastrians worship Ahura Mazda, the uncreated God, as proclaimed by the ancient Iranian prophet Zoroaster. It was the official religion of all Persian empires (except the Hellenic Seleucid Empire) until the Muslim conquest of the Sassanid Empire in 651. The ancient form of the religion involved great sacred hill top fires, the exposure of dead bodies to scavenger birds for cleansing, and religious close-kin marriages in imitation of Ahura Mazda and Zoroaster.;;;;;;;;;x 
k_zenata;Zenata;;;;;;;;;x 
k_zenata_adj;Zenatan;;;;;;;;;x 
k_masmuda;Masmuda;;;;;;;;;x 
k_masmuda_adj;Masudan;;;;;;;;;x 
k_sahaja;Sahaja;;;;;;;;;x 
k_sahaja_adj;Sahajan;;;;;;;;;x 
d_canarias;Canarias;;;;;;;;;x 
k_canarias;Canarias;;;;;;;;;x 
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia. The Byzantine Empire fought numerous wars with the Paulicians, who received Arab support at times. In-game, it is treated as an Apostolic heresy.;;;;;;;;;x 
druze_DESC;The Druze religion originated in the Ismaili sect of Shi'a Islam, but has many features of gnosticism and neoplatonism in addition to the Abrahamic religions.;;;;;;;;;x 
visigothic_arian_conversion;Covert to Arian;;;;;;;;;x 
visigothic_arian_conversion_desc;With the Catholic Church in disarray, you could convert to Arianism.;;;;;;;;;x 
ostrogothic_arian_conversion;Covert to Arian;;;;;;;;;x 
ostrogothic_arian_conversion_desc;With the Orthodox Church in disarray, you could convert to Arianism.;;;;;;;;;x 
revive_Visigothic_culture;Revive Visigothic Culture;;;;;;;;;x 
revive_Visigothic_culture_desc;The Visigothic kingdom has been restored to its former glory, but its once rich language and culture is dead. You could attempt to revive it if you wish.;;;;;;;;;x 
revive_ostrogothic_culture;Revive Ostrogothic Culture;;;;;;;;;x 
revive_ostrogothic_culture_desc;The Ostrogothic kingdom has been restored to its former glory, but its once rich language and culture is dead. You could attempt to revive it if you wish;;;;;;;;;x 
EVTDESCPA.10287;Through foreign trade and Khazar influence new traditions are evolving among the Ostrogoths. This is highly noticeable in the province of [Root.GetName], which is now more Altaic than German.;;;;;;;;;x 
ostrogoth_culture;[From.GetTitledName] becomes Ostrogothic;;;;;;;;;x 
visigoth_culture;[From.GetTitledName] becomes Visigothic;;;;;;;;;x 
EVTNAMEPA.10288;The Kingdom of Luxembourg;;;;;;;;;x 
EVTDESCPA.10288;With the end of Carolingian domination of Middle Francia, the realm is now more commonly referred to as the Kingdom of Luxembourg.;;;;;;;;;x 
EVTNAMEPA.10289;The Decline of Francia;;;;;;;;;x 
EVTDESCPA.10289;Since the death of Charlemagne, his empire has become increasingly fragmented. The nobles dream of complete independence from the emperor, who may soon see his realm ripped apart by civil strife.;;;;;;;;;x 
EVTNAMEPA.10290;The Decline of Francia;;;;;;;;;x 
EVTDESCPA.10290;The empire of Charlemagne has remained strong in the face of civil war and independence-minded nobles. With the empire united once more, Charlemagne's dream of a united Europe may finally come to pass.;;;;;;;;;x 
EVTNAMEPA.10291;The Anarchy at Samarra;;;;;;;;;x 
EVTDESCPA.10291;As the Abbasid caliphate grew, it became nearly impossible to govern properly. The emirs strive for nothing more than complete independence from the caliph, who may soon see his realm ripped apart by civil strife.;;;;;;;;;x 
EVTNAMEPA.10292;The Anarchy at Samarra;;;;;;;;;x 
EVTDESCPA.10292;The Abbasid caliphate has remained strong in the face of civil war and independence-minded nobles. With the caliphate united once more, Muhammad's dream of a united Islamic world may finally come to pass.;;;;;;;;;x 
imperial_decline;Imperial Decline;;;;;;;;;x 
abbasid_anarchy;Anarchy at Samarra;;;;;;;;;x 
divine;Divine;;;;;;;;;x 
divine_desc;Maybe the gods are real afterall...;;;;;;;;;x 
INTERACTION_NOT_KINGS_FULL_PEACE;Demense Laws allow vassals to wage war;;;;;;;;;x 
INTERACTION_NOT_KINGS_PEACE;Demense Laws allow vassals to wage war on each other;;;;;;;;;x 
restore_high_priesthood2;Restore the High Priesthood;;;;;;;;;x 
restore_high_priesthood2_desc;If we can reclaim Israel, we could restore the Samaritan High Priesthood.;;;;;;;;;x 
restore_high_priesthood3;Create the High Priesthood;;;;;;;;;x 
restore_high_priesthood3_desc;If we can reclaim Israel, we could create the Karaite High Priesthood.;;;;;;;;;x 
restore_priesthood2;Create the High Priesthood;;;;;;;;;x 
restore_priesthood2_desc;If we can reclaim the Persian Empire, we could create the Mazdaki High Priesthood.;;;;;;;;;x 
restore_priesthood3;Create the High Priesthood;;;;;;;;;x 
restore_priesthood3_desc;If we can reclaim the Persian Empire, we could create the Zurvanite High Priesthood.;;;;;;;;;x 
e_umayyad;Umayyad Caliphate;;;;;;;;;x 
e_umayyad_adj;Umayyad;;;;;;;;;x 
EVTNAMEPA.10299;The Decline of Byzantium;;;;;;;;;x 
EVTDESCPA.10299;Since the Battle of Manzikert, the Byzantine Empire has become increasingly fragmented. The nobles dream of complete independence from the emperor, who may soon see his realm ripped apart by civil strife.;;;;;;;;;x 
fourth_fitna;Fourth Fitna;;;;;;;;;x 
EVTNAMEPA.10300;The Fourth Fitna;;;;;;;;;x 
EVTDESCPA.10300;As the Abbasid caliphate grew, infighting began among the members of the ruling dynasty, which only continued to grow larger. If the caliph is not careful, he may soon see his realm ripped apart by civil strife.;;;;;;;;;x 
EVTNAMEPA.10303;The Fourth Fitna;;;;;;;;;x 
EVTDESCPA.10303;The Abbasid caliphate has remained strong in the face of civil war and independence-minded nobles. With the caliphate united once more, Muhammad's dream of a united Islamic world may finally come to pass.;;;;;;;;;x 
k_gallia;Gallia;;;;;;;;;x 
k_gallia_adj;Gallic;;;;;;;;;x 
restore_gallia;Form the Kingdom of Gallia.;;;;;;;;;x 
restore_gallia_desc;Form the Kingdom of Gallia.;;;;;;;;;x 
ostrogothic_germanic_conversion;Covert to Germanic;;;;;;;;;x 
ostrogothic_germanic_conversion_desc;With the Orthodox Church in disarray, you could convert to paganism.;;;;;;;;;x 
visigothic_germanic_conversion;Covert to Arian;;;;;;;;;x 
visigothic_germanic_conversion_desc;With the Catholic Church in disarray, you could convert to paganism.;;;;;;;;;x 
e_gallia;Gallic Empire;;;;;;;;;x 
e_gallia_adj;Gallic;;;;;;;;;x 
e_palmyra;Palmyrene Empire;;;;;;;;;x 
e_palmyra_adj;Palmyrene;;;;;;;;;x 
restore_gallic_empire;Restore the Gallic Empire..;;;;;;;;;x 
restore_gallia_empire_desc;Restore the Gallic Empire.;;;;;;;;;x 
restore_palmyrene_empire;Restore the Palmyrene Empire..;;;;;;;;;x 
restore_palmyrene_empire_desc;Restore the Palmyrene Empire.;;;;;;;;;x 
EVTDESCPA.10304;The revival of the Roman culture has led to a decline in the number of Italian speakers. This is highly noticeable in the province of [Root.GetName], which is now Roman in culture.;;;;;;;;;x 
quran;Quranist;;;;;;;;;x 
quran_DESC;Quranism is a view that holds the Quran to be the only authentic source of Islamic faith. Quranists generally reject the religious authority and authenticity of hadith, sunnah, clergymen, madhhabs, as well as traditional sharia law, with the assertion that they are false attributes to the Islamic prophet Muhammad.;;;;;;;;;x 
convert_to_spouse_quran;Convert to Quranism;;;;;;;;;x 
convert_to_spouse_quran_desc;The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?;;;;;;;;;x 
convert_to_spouse_yazidi;Convert to Yazidi;;;;;;;;;x 
convert_to_spouse_yazidi_desc;The pillow talk of a spouse or concubine can be very persuasive. Can this Melek Taus beat the Old Gods though?;;;;;;;;;x 
standing_army;Standing Army;;;;;;;;;x 
standing_army2;Standing Army;;;;;;;;;x 
standing_army3;Standing Army;;;;;;;;;x 
standing_army4;Standing Army;;;;;;;;;x 
standing_army5;Standing Army;;;;;;;;;x 
e_rum;Rum;;;;;;;;;x 
e_rum_adj;Rumite;;;;;;;;;x 
form_rum_empire;Form the Empire of Rum;;;;;;;;;x 
form_rum_empire_desc;Form the Empire of Rum;;;;;;;;;x 
EVTNAMEPA.10305;Fall of Kievan Rus;;;;;;;;;x 
EVTDESCPA.10305;The great kingdom of the Rus has fallen. With the loss of so much territory to foreign powers and rebellious nobles, it was only a matter of time before Kiev fell. The unity of the Rus has been shattered for now, but the future may see Kiev return.;;;;;;;;;x 
EVTNAMEPA.10308;The Seljuk Conquest;;;;;;;;;x 
EVTDESCPA.10308;The defeat that was inflicted upon the Byzantines at Manzikert nearly destroyed their empire. Emperor Michael VII has managed to restore some sense of stability, but he is universally hated. With civil war on the horizon, now would be a good chance to invade Anatolia.;;;;;;;;;x 
EVTNAMEPA.10309;Rise of Rum;;;;;;;;;x 
EVTDESCPA.10309;The Byzantine Empire has been defeated in Anatolia by the Seljuk Turks, who now call themselves Rum (Rome). Lead by distant relation of the Seljuk sultan, they are eager to continue their invasion of the Byzantine Empire.;;;;;;;;;x 
k_socotra;Socotra;;;;;;;;;x 
k_socotra_adj;Socotran;;;;;;;;;x 
assyrian;Assyrian;;;;;;;;;x 
aramean;Aramean;;;;;;;;;x 
coptic;Coptic;;;;;;;;;x 
k_kimak;Kimak;;;;;;;;;x 
d_sahara;Sahara;;;;;;;;;x 
Canaanite;Canaanite;;;;;;;;;x 
ca_culture_group_iranian_1;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_2;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_3;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_4;Paighan Training Ground;;;;;;;;;x 
ca_culture_group_iranian_1_desc;Equipped with leather armour, a spear, and a wooden shield, Paighan are primarily intended to support the heavy cataphracts that Persia is known for. They aren't the best trained men, but they can generally hold a line.;;;;;;;;;x 
k_ostrogoth;Ostrogothia;;;;;;;;;x 
k_ostrogoth_adj;Ostrogothic;;;;;;;;;x 
langobard;Langobard;;;;;;;;;x 
african;Afro-Roman;;;;;;;;;x 
langobard_arian_conversion;Covert to Arian;;;;;;;;;x 
langobard_arian_conversion_desc;With the Catholic Church in disarray, you could convert to Arianism.;;;;;;;;;x 
langobard_germanic_conversion;Covert to Arian;;;;;;;;;x 
langobard_germanic_conversion_desc;With the Catholic Church in disarray, you could convert to paganism.;;;;;;;;;x 
RETTYPE_CUL_MAC;Hoplite;;;;;;;;;x 
RETTYPE_CUL_MAC2;Companion;;;;;;;;;x 
ca_national_retinue_macedonia_1;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_2;Hopeite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_3;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_4;Hoplite Training Ground;;;;;;;;;x 
ca_national_retinue_macedonia_1_desc;The Hoplites of Alexander, reborn in the medieval era. Like their ancient predecessors, they are equipped with a ten foot pike and small shield. Upgraded with modern chain-mail armour, they are truly deadly warriors.;;;;;;;;;x 
RETTYPE_CUL_GOTH;Gothic Heavy Infantry;;;;;;;;;x 
ca_culture_germanic_1_desc;The heavy infantry formations of the Franks, the Lombards and the Goths are heavily influenced by the Roman army's organization and tactics. Here is where these elite warriors are trained and drilled to be ready for battle in the service of their liege.;;;;;;;;;x 
RETTYPE_CUL_ARF;Moorish Infantry;;;;;;;;;x 
RETTYPE_CUL_BERBER;Moorish Cavalry;;;;;;;;;x 
mizrahi;Mizrahi;;;;;;;;;x 
baron_gallic;Nobilus;;;;;;;;;x 
baron_female_gallic;Nobilia;;;;;;;;;x 
barony_of_gallic;Castra of;;;;;;;;;x 
city_baron_gallic;Curator;;;;;;;;;x 
count_gallic;Comes;;;;;;;;;x 
count_female_gallic;Comitissa;;;;;;;;;x 
county_of_gallic;Comitatus of;;;;;;;;;x 
city_count_gallic;Prefect;;;;;;;;;x 
duke_gallic;Dux;;;;;;;;;x 
duke_female_gallic;Ducissa;;;;;;;;;x 
duchy_of_gallic;Ducate of;;;;;;;;;x 
city_duke_of_gallic;Proconsul;;;;;;;;;x 
city_duchy_of_gallic;Province of;;;;;;;;;x 
king_gallic;Rex;;;;;;;;;x 
king_female_gallic;Regina;;;;;;;;;x 
city_king_gallic;Consul;;;;;;;;;x 
city_kingdom_of_gallic;Republic of;;;;;;;;;x 
emperor_gallic;Imperator;;;;;;;;;x 
emperor_female_gallic;Imperatrix;;;;;;;;;x 
city_emperor_gallic;Princeps;;;;;;;;;x 
city_empire_of_gallic;Republic of;;;;;;;;;x 
vice_royalty_count_gallic;Rector;;;;;;;;;x 
vice_royalty_count_female_gallic;Rectrix;;;;;;;;;x 
vice_royalty_county_of_gallic;Coventus of;;;;;;;;;x 
vice_royalty_duke_gallic;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_gallic;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_gallic;Province of;;;;;;;;;x 
vice_royalty_king_gallic;Exarch;;;;;;;;;x 
vice_royalty_king_female_gallic;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_gallic;Exarchate of;;;;;;;;;x 
baron_hispanic;Nobilus;;;;;;;;;x 
baron_female_hispanic;Nobilia;;;;;;;;;x 
barony_of_hispanic;Castra of;;;;;;;;;x 
city_baron_hispanic;Curator;;;;;;;;;x 
count_hispanic;Comes;;;;;;;;;x 
count_female_hispanic;Comitissa;;;;;;;;;x 
county_of_hispanic;Comitatus of;;;;;;;;;x 
city_count_hispanic;Prefect;;;;;;;;;x 
duke_hispanic;Dux;;;;;;;;;x 
duke_female_hispanic;Ducissa;;;;;;;;;x 
duchy_of_hispanic;Ducate of;;;;;;;;;x 
